DATA_JOGO,CONFRONTO,RESULTADO,MINUTOS,CESTAS_CONVERTIDAS,CESTAS_TENTADAS,CESTAS_3PTS,CESTAS_3PTS_TENTADAS,PONTOS,REBOTES,ASSISTENCIAS,ROUBOS,TOCOS,ADVERSARIO,PONTOS_20+,PONTOS_MENOS20
"Apr 14, 2024",LAL @ NOP,W,38,11,20,0,2,28,11,17,5,1,NOP,True,False
"Apr 12, 2024",LAL @ MEM,W,41,13,20,3,7,37,9,5,2,0,MEM,True,False
"Apr 09, 2024",LAL vs. GSW,L,36,14,22,1,3,33,7,11,2,0,GSW,True,False
"Apr 06, 2024",LAL vs. CLE,W,36,10,18,1,5,24,5,12,1,1,CLE,True,False
"Apr 03, 2024",LAL @ WAS,W,36,9,18,0,1,25,7,9,3,0,WAS,True,False
"Apr 02, 2024",LAL @ TOR,W,29,10,12,1,1,23,4,9,0,0,TOR,True,False
"Mar 31, 2024",LAL @ BKN,W,37,13,17,9,10,40,7,5,0,0,BKN,True,False
"Mar 29, 2024",LAL @ IND,L,35,6,12,0,3,16,10,8,0,0,IND,False,True
"Mar 27, 2024",LAL @ MEM,W,35,8,14,0,1,23,14,12,1,0,MEM,True,False
"Mar 24, 2024",LAL vs. IND,W,38,8,19,2,4,26,5,10,1,1,IND,True,False
"Mar 22, 2024",LAL vs. PHI,W,38,7,15,1,3,20,8,6,0,1,PHI,True,False
"Mar 18, 2024",LAL vs. ATL,W,29,10,14,2,5,25,7,10,0,0,ATL,True,False
"Mar 16, 2024",LAL vs. GSW,L,38,15,23,3,5,40,8,9,1,1,GSW,True,False
"Mar 13, 2024",LAL @ SAC,L,40,6,16,2,8,18,13,9,2,0,SAC,False,True
"Mar 10, 2024",LAL vs. MIN,W,38,10,16,2,4,29,8,9,0,0,MIN,True,False
"Mar 06, 2024",LAL vs. SAC,L,36,10,16,1,4,31,5,13,1,0,SAC,True,False
"Mar 04, 2024",LAL vs. OKC,W,31,7,14,1,3,19,11,8,1,0,OKC,False,True
"Mar 02, 2024",LAL vs. DEN,L,37,12,20,2,5,26,4,9,3,0,DEN,True,False
"Feb 29, 2024",LAL vs. WAS,W,39,12,24,2,5,31,4,9,1,1,WAS,True,False
"Feb 28, 2024",LAL @ LAC,W,37,13,21,7,12,34,6,8,0,2,LAC,True,False
"Feb 25, 2024",LAL @ PHX,L,37,12,19,3,6,28,7,12,2,1,PHX,True,False
"Feb 23, 2024",LAL vs. SAS,W,34,13,22,2,3,30,7,9,1,0,SAS,True,False
"Feb 13, 2024",LAL vs. DET,W,31,9,15,3,6,25,1,8,0,0,DET,True,False
"Feb 09, 2024",LAL vs. NOP,W,38,6,13,2,2,21,4,14,1,1,NOP,True,False
"Feb 08, 2024",LAL vs. DEN,L,35,9,20,2,6,25,9,7,1,1,DEN,True,False
"Feb 05, 2024",LAL @ CHA,W,40,12,22,0,5,26,4,7,1,1,CHA,True,False
"Feb 03, 2024",LAL @ NYK,W,40,10,19,2,5,24,5,5,2,1,NYK,True,False
"Jan 30, 2024",LAL @ ATL,L,36,7,17,2,6,20,9,8,1,1,ATL,True,False
"Jan 29, 2024",LAL @ HOU,L,37,9,15,2,5,23,6,10,1,1,HOU,True,False
"Jan 27, 2024",LAL @ GSW,W,48,14,25,2,4,36,20,12,0,0,GSW,True,False
"Jan 25, 2024",LAL vs. CHI,W,36,10,19,3,4,25,4,12,2,0,CHI,True,False
"Jan 21, 2024",LAL vs. POR,W,31,8,16,3,8,28,5,5,0,0,POR,True,False
"Jan 19, 2024",LAL vs. BKN,L,34,9,22,2,5,24,11,5,0,0,BKN,True,False
"Jan 17, 2024",LAL vs. DAL,W,33,10,19,3,7,25,8,8,1,0,DAL,True,False
"Jan 15, 2024",LAL vs. OKC,W,39,12,20,1,2,25,7,6,0,0,OKC,True,False
"Jan 11, 2024",LAL vs. PHX,L,24,3,11,0,4,10,5,9,1,0,PHX,False,True
"Jan 09, 2024",LAL vs. TOR,W,35,8,17,2,5,22,5,12,1,1,TOR,True,False
"Jan 07, 2024",LAL vs. LAC,W,38,11,19,1,3,25,8,7,1,0,LAC,True,False
"Jan 05, 2024",LAL vs. MEM,L,39,11,24,4,9,32,5,7,5,0,MEM,True,False
"Jan 03, 2024",LAL vs. MIA,L,38,6,18,0,6,12,6,9,0,0,MIA,False,True
"Dec 31, 2023",LAL @ NOP,L,37,12,24,3,7,34,5,8,0,1,NOP,True,False
"Dec 30, 2023",LAL @ MIN,L,39,10,21,1,4,26,3,6,3,1,MIN,True,False
"Dec 28, 2023",LAL vs. CHA,W,25,7,13,2,5,17,4,11,0,0,CHA,False,True
"Dec 25, 2023",LAL vs. BOS,L,37,5,14,1,2,16,9,8,0,0,BOS,False,True
"Dec 23, 2023",LAL @ OKC,W,37,13,20,5,5,40,7,7,2,2,OKC,True,False
"Dec 20, 2023",LAL @ CHI,L,37,10,18,1,3,25,10,9,1,2,CHI,True,False
"Dec 18, 2023",LAL vs. NYK,L,39,10,23,2,8,25,11,11,1,0,NYK,True,False
"Dec 15, 2023",LAL @ SAS,L,36,7,17,2,6,23,7,14,2,0,SAS,True,False
